,overall
12381,5.0
19735,3.0
7530,4.0
766,5.0
2056,5.0
1305,4.0
14567,5.0
16580,4.0
16333,5.0
3495,5.0
6600,4.0
23610,4.0
7887,5.0
22958,5.0
10287,4.0
6543,5.0
11841,5.0
4369,4.0
14756,5.0
21344,4.0
22927,3.0
21771,4.0
20036,5.0
23306,5.0
19813,4.0
15166,1.0
8902,4.0
8024,5.0
9992,5.0
3225,5.0
7210,4.0
4533,4.0
10346,5.0
4844,5.0
12000,5.0
21677,5.0
21911,4.0
4184,5.0
7792,5.0
13046,4.0
5031,5.0
15926,4.0
19297,5.0
23599,3.0
2342,5.0
6747,5.0
14896,5.0
5773,5.0
12456,4.0
15812,5.0
8321,5.0
7643,5.0
17326,5.0
21860,4.0
13554,4.0
9743,4.0
20328,4.0
22147,5.0
6399,3.0
16270,5.0
15268,5.0
20049,2.0
7335,5.0
10631,2.0
7167,5.0
4532,3.0
9350,5.0
15250,4.0
7570,4.0
13692,4.0
11474,4.0
19497,2.0
4611,5.0
7729,4.0
10259,4.0
21289,4.0
12587,5.0
21266,4.0
11352,5.0
6022,4.0
8725,5.0
6331,4.0
4359,1.0
21626,5.0
22002,4.0
1461,5.0
20060,5.0
10327,5.0
11089,5.0
19180,5.0
23671,3.0
2035,5.0
18567,4.0
17214,3.0
12653,5.0
22480,5.0
4009,5.0
9459,5.0
3924,5.0
5125,5.0
6903,5.0
13122,3.0
1045,5.0
4266,5.0
19088,3.0
4793,5.0
4049,4.0
14044,5.0
4667,4.0
13414,4.0
23243,5.0
4720,5.0
4875,5.0
12918,5.0
21656,4.0
18625,5.0
5139,5.0
16528,4.0
19363,1.0
21924,4.0
19193,5.0
14816,4.0
6575,4.0
14447,4.0
7579,4.0
14750,5.0
14839,5.0
14492,3.0
2485,5.0
2134,5.0
22868,4.0
9085,4.0
9272,5.0
23138,3.0
21141,4.0
11557,5.0
9663,5.0
19292,5.0
17231,1.0
20505,5.0
15098,5.0
15186,5.0
18734,4.0
16032,3.0
15682,5.0
8992,5.0
16773,3.0
22207,5.0
18632,3.0
4007,5.0
9902,5.0
15643,5.0
14470,5.0
6669,4.0
10447,5.0
23108,5.0
12527,3.0
23715,5.0
13422,5.0
12114,5.0
14682,1.0
9480,5.0
22508,2.0
6368,4.0
6494,4.0
21320,1.0
23357,4.0
11092,2.0
21456,5.0
4180,5.0
19773,5.0
2917,5.0
17829,2.0
20351,4.0
2960,5.0
8203,5.0
15945,1.0
7610,5.0
12503,4.0
20700,3.0
14867,4.0
17349,4.0
12906,5.0
19045,1.0
11379,5.0
9441,5.0
294,4.0
14660,5.0
23786,5.0
17847,3.0
21125,1.0
13808,1.0
12050,4.0
5823,5.0
19811,3.0
19708,5.0
2055,5.0
8771,1.0
8893,4.0
10165,3.0
18699,2.0
14804,3.0
5969,5.0
9185,4.0
6223,3.0
771,5.0
4226,5.0
23119,5.0
12723,4.0
17744,4.0
14582,5.0
21330,4.0
18703,5.0
8448,4.0
11103,4.0
11691,1.0
2047,5.0
1552,5.0
8098,5.0
18525,5.0
10338,3.0
5495,5.0
14444,5.0
15402,5.0
15928,4.0
113,5.0
674,5.0
14729,5.0
14849,5.0
20071,5.0
4113,5.0
16080,4.0
14543,5.0
19346,4.0
5240,4.0
816,5.0
1998,5.0
18012,3.0
2034,5.0
23392,4.0
7419,5.0
20627,3.0
5781,5.0
8810,4.0
17751,5.0
6907,4.0
13337,5.0
14143,4.0
20884,5.0
3739,5.0
17797,5.0
10643,2.0
16587,5.0
14832,4.0
5083,5.0
20138,5.0
13607,4.0
5880,5.0
20072,5.0
13926,5.0
19637,5.0
15761,4.0
3304,5.0
13822,5.0
3666,5.0
19836,5.0
12130,5.0
11326,4.0
17664,4.0
16751,3.0
12040,1.0
3243,4.0
10849,5.0
4102,5.0
6190,5.0
15658,3.0
21817,4.0
10936,5.0
12716,5.0
459,5.0
5608,3.0
10780,3.0
19171,4.0
17459,4.0
19768,5.0
19913,4.0
8672,5.0
1772,5.0
18272,2.0
2079,5.0
955,5.0
1085,5.0
17340,4.0
14155,5.0
16035,5.0
233,5.0
4753,5.0
23704,5.0
2633,5.0
20775,5.0
13602,3.0
11331,5.0
4521,5.0
18609,5.0
18320,5.0
4683,4.0
15037,5.0
13161,4.0
4491,4.0
6256,5.0
8062,4.0
19015,3.0
3607,5.0
8982,4.0
20070,1.0
19471,5.0
19968,5.0
10035,5.0
8719,5.0
2640,2.0
20544,4.0
8704,5.0
1220,5.0
20436,3.0
13536,5.0
20950,2.0
6389,5.0
8235,5.0
18882,5.0
22375,5.0
13520,5.0
5076,5.0
10907,3.0
5269,5.0
14698,5.0
1838,4.0
7237,5.0
8858,1.0
20509,3.0
14635,4.0
8100,5.0
11583,5.0
13265,4.0
961,5.0
18962,3.0
11271,4.0
1572,5.0
837,5.0
11754,4.0
10288,4.0
16828,4.0
939,5.0
15858,5.0
16921,4.0
6489,4.0
3005,5.0
5370,5.0
20540,2.0
22116,5.0
16811,3.0
8855,4.0
17072,4.0
12524,4.0
22415,5.0
11535,4.0
4270,5.0
12293,5.0
19021,5.0
1336,4.0
1742,5.0
14012,4.0
17475,4.0
10712,5.0
3703,2.0
23747,3.0
2339,5.0
18194,5.0
21713,4.0
19475,3.0
18454,5.0
4269,5.0
19997,2.0
17277,3.0
447,5.0
11051,4.0
10422,5.0
13483,5.0
12774,4.0
9721,5.0
23028,5.0
15426,4.0
3439,5.0
9394,5.0
15407,5.0
17638,5.0
15915,3.0
16072,5.0
2384,3.0
16756,2.0
2119,5.0
16141,5.0
14687,4.0
22457,3.0
10583,4.0
3520,5.0
3161,3.0
18377,4.0
17879,3.0
20730,3.0
11556,3.0
10794,4.0
44,2.0
12284,3.0
13040,5.0
2522,4.0
3683,5.0
5636,5.0
21190,4.0
354,5.0
21985,4.0
2455,3.0
19236,5.0
17322,3.0
5797,3.0
12287,5.0
17776,5.0
2946,4.0
12870,4.0
13025,5.0
15563,5.0
10347,1.0
7888,4.0
17193,4.0
17704,5.0
13326,2.0
10047,5.0
5411,5.0
14550,4.0
843,3.0
4121,5.0
23203,4.0
9893,5.0
20568,4.0
14877,5.0
7394,5.0
628,5.0
10281,5.0
607,5.0
16604,5.0
17661,5.0
5283,5.0
12479,3.0
11635,4.0
9202,5.0
18471,1.0
19936,5.0
8071,5.0
17836,1.0
13080,4.0
22865,5.0
20812,4.0
10472,4.0
8800,4.0
23591,5.0
15646,2.0
19202,5.0
20904,5.0
19530,2.0
15856,4.0
19388,5.0
6935,4.0
1166,5.0
16607,4.0
3146,5.0
16565,3.0
7970,5.0
9774,5.0
2356,5.0
11171,4.0
9829,4.0
9444,5.0
10052,5.0
13514,5.0
21157,5.0
10207,5.0
8136,4.0
2478,5.0
2353,5.0
20032,5.0
9301,5.0
14226,4.0
7510,5.0
10137,5.0
20834,5.0
15551,4.0
1698,5.0
12879,3.0
1098,3.0
1097,5.0
20538,3.0
8776,5.0
14584,5.0
22930,4.0
11581,4.0
20973,4.0
13342,4.0
5957,5.0
21409,5.0
2206,5.0
8149,5.0
7515,5.0
20,5.0
7682,5.0
18262,4.0
11965,5.0
8312,5.0
2975,4.0
3229,5.0
14128,4.0
20555,4.0
9361,5.0
17347,4.0
16286,4.0
840,4.0
2812,5.0
17292,4.0
21660,2.0
7903,4.0
18710,2.0
3591,4.0
23713,3.0
2270,4.0
16523,4.0
10765,1.0
6395,2.0
20053,4.0
874,5.0
8399,5.0
1963,5.0
18519,5.0
20287,5.0
17024,5.0
3049,5.0
23659,5.0
21053,5.0
1972,5.0
6792,5.0
8188,5.0
11419,3.0
11505,3.0
12661,4.0
20895,3.0
9639,5.0
9644,4.0
2973,5.0
11958,5.0
11169,1.0
227,5.0
23589,3.0
4136,3.0
19640,4.0
9621,2.0
9486,5.0
20412,3.0
20993,1.0
18873,4.0
19047,1.0
12657,1.0
8392,3.0
19845,5.0
9627,4.0
1867,4.0
17343,5.0
11317,4.0
3337,5.0
1699,5.0
14056,5.0
4302,4.0
3816,5.0
1462,5.0
2844,4.0
20860,4.0
10766,1.0
19462,1.0
15314,1.0
18322,4.0
19641,5.0
18647,5.0
586,5.0
8624,5.0
4624,5.0
21947,4.0
9924,4.0
17361,4.0
15852,5.0
2636,4.0
17315,4.0
11334,4.0
2169,5.0
11442,2.0
11369,4.0
10687,5.0
5389,5.0
7079,4.0
17736,3.0
22463,5.0
22387,5.0
10029,5.0
8712,5.0
16700,4.0
19516,4.0
14642,5.0
21801,5.0
13920,3.0
1306,4.0
23067,5.0
23072,5.0
1815,4.0
17606,2.0
14659,5.0
11720,5.0
10334,4.0
9031,2.0
12736,4.0
12089,4.0
20493,1.0
20936,4.0
1476,5.0
21388,4.0
11109,5.0
14539,4.0
11193,1.0
12231,5.0
21210,4.0
21199,3.0
20991,3.0
2074,5.0
4592,5.0
15245,3.0
21971,1.0
13769,5.0
16945,5.0
917,3.0
17330,4.0
5195,5.0
11766,1.0
8578,4.0
3074,4.0
14265,2.0
7473,5.0
959,4.0
4928,5.0
9366,5.0
9359,4.0
251,5.0
20774,4.0
8782,5.0
17670,4.0
16458,5.0
7037,4.0
23154,4.0
16392,1.0
2720,4.0
13426,5.0
8603,5.0
21913,5.0
831,5.0
20571,5.0
21969,3.0
17515,3.0
15275,1.0
11209,5.0
4924,5.0
2212,5.0
8027,5.0
2730,5.0
10446,5.0
21570,3.0
23151,5.0
22984,4.0
12622,2.0
15084,5.0
22317,4.0
10270,5.0
1688,5.0
11428,5.0
1263,1.0
17390,5.0
6631,5.0
15967,5.0
20196,4.0
20106,5.0
10678,4.0
9722,5.0
1286,5.0
7035,4.0
6507,5.0
5949,3.0
6712,5.0
19114,5.0
20168,5.0
2075,5.0
15156,2.0
11165,5.0
10033,5.0
8777,4.0
1352,5.0
15591,5.0
8791,1.0
19699,5.0
2863,5.0
8622,3.0
16395,5.0
21816,5.0
6242,4.0
17333,5.0
17152,5.0
10220,5.0
5467,4.0
471,5.0
9363,4.0
7770,5.0
6563,5.0
8300,3.0
12908,4.0
10542,4.0
11940,5.0
2109,5.0
15294,5.0
19443,1.0
8459,5.0
22691,5.0
19521,4.0
13215,5.0
4771,5.0
15050,5.0
11267,3.0
14817,4.0
22119,5.0
18588,3.0
16755,2.0
6294,5.0
12689,4.0
21164,5.0
15381,1.0
11894,5.0
12798,5.0
9043,4.0
998,4.0
16623,3.0
20845,3.0
4542,4.0
21923,5.0
3422,5.0
19613,5.0
2263,5.0
9449,5.0
11961,3.0
21782,4.0
3940,4.0
21697,4.0
10406,5.0
19142,4.0
8751,4.0
20599,5.0
2959,5.0
480,5.0
3235,3.0
20741,5.0
15950,2.0
4719,4.0
21527,5.0
13928,2.0
9445,5.0
16544,4.0
8268,5.0
18315,5.0
9045,5.0
9692,5.0
23633,4.0
16611,5.0
15193,5.0
12901,4.0
20198,4.0
8631,4.0
12056,4.0
3009,5.0
3640,5.0
16344,5.0
7995,5.0
3266,5.0
6037,5.0
15775,5.0
3681,4.0
16563,5.0
11930,4.0
13490,5.0
3977,4.0
4710,5.0
3832,4.0
19788,5.0
546,4.0
4764,3.0
14712,3.0
13119,1.0
5164,3.0
17363,5.0
2400,3.0
7649,5.0
13032,5.0
18179,4.0
11781,2.0
22259,5.0
18281,3.0
16287,3.0
13761,5.0
2600,4.0
1188,5.0
15848,5.0
9823,4.0
307,4.0
3011,5.0
23547,5.0
23481,4.0
4292,5.0
2880,3.0
1869,5.0
4608,3.0
20716,4.0
11067,5.0
12786,5.0
14193,5.0
13775,5.0
1502,5.0
21390,4.0
11124,5.0
19566,4.0
6934,5.0
16262,2.0
3085,5.0
12359,2.0
5692,5.0
6812,5.0
14980,5.0
13904,4.0
6959,2.0
2371,4.0
9703,5.0
19873,5.0
12983,5.0
21493,3.0
22295,5.0
730,5.0
13545,5.0
14167,3.0
11423,5.0
18627,4.0
14124,4.0
12665,4.0
21241,3.0
19466,4.0
14387,4.0
5660,4.0
20905,5.0
7383,4.0
6149,3.0
14218,4.0
2463,5.0
10777,1.0
4802,5.0
21518,5.0
17304,4.0
20362,4.0
450,3.0
14211,5.0
7746,5.0
1690,5.0
4653,5.0
4568,5.0
8511,4.0
11383,4.0
15781,5.0
10499,5.0
16526,5.0
10805,5.0
11078,5.0
5377,5.0
20800,5.0
5528,5.0
455,4.0
18529,4.0
2984,5.0
12952,4.0
18878,4.0
1732,5.0
10009,4.0
5002,5.0
15126,5.0
4093,3.0
18007,4.0
17409,5.0
5542,3.0
4447,5.0
2954,5.0
2935,4.0
388,5.0
19331,4.0
22951,4.0
815,5.0
13842,4.0
16971,5.0
13190,5.0
10481,5.0
12808,5.0
14634,5.0
16533,5.0
18547,4.0
20160,5.0
18586,4.0
3733,4.0
6578,3.0
6783,5.0
12954,5.0
8403,5.0
18835,3.0
1910,5.0
9315,5.0
17026,4.0
19973,4.0
1423,5.0
5620,5.0
18460,4.0
1765,5.0
14714,5.0
18393,4.0
1488,5.0
5300,5.0
7587,5.0
18513,5.0
22546,4.0
13885,5.0
2196,5.0
12429,5.0
18900,4.0
13001,5.0
2704,3.0
18062,2.0
1201,3.0
20701,4.0
16557,5.0
23494,5.0
17028,4.0
392,5.0
10837,3.0
6875,4.0
14307,3.0
12834,5.0
12261,5.0
21358,5.0
1996,5.0
6909,3.0
19484,5.0
3399,4.0
3432,4.0
5968,5.0
6141,5.0
9460,5.0
8921,5.0
90,5.0
6945,5.0
14368,5.0
19177,5.0
1474,4.0
2486,5.0
12457,5.0
10497,5.0
21761,4.0
3883,5.0
20802,4.0
6818,5.0
2101,4.0
19105,5.0
12363,4.0
8377,5.0
12532,5.0
18434,4.0
971,4.0
4817,4.0
13163,5.0
18346,5.0
19025,4.0
10377,5.0
9765,4.0
5308,5.0
23641,4.0
16448,4.0
22129,4.0
19343,4.0
2699,5.0
13600,5.0
22999,1.0
11208,3.0
17778,5.0
7262,5.0
17612,3.0
11388,5.0
22590,1.0
8856,1.0
1430,5.0
1549,5.0
10594,4.0
141,5.0
23218,5.0
15205,5.0
162,5.0
21248,4.0
21286,5.0
21290,5.0
3929,5.0
1666,3.0
18191,5.0
11126,5.0
21104,2.0
21513,5.0
21940,5.0
9339,5.0
10243,3.0
7265,5.0
17251,4.0
18146,5.0
1694,5.0
20228,4.0
12909,5.0
22001,5.0
12243,5.0
18771,5.0
5258,4.0
10626,5.0
11155,4.0
17160,5.0
1186,5.0
11260,5.0
1434,5.0
19852,5.0
10634,3.0
11929,4.0
20514,5.0
14610,5.0
15482,5.0
15298,4.0
21927,1.0
9707,5.0
15027,4.0
6771,5.0
15090,5.0
10215,4.0
11262,3.0
20685,5.0
20933,4.0
11611,5.0
7416,5.0
11743,1.0
21183,4.0
10910,4.0
21938,5.0
16435,4.0
6073,4.0
5811,5.0
12585,4.0
700,4.0
18110,5.0
15079,2.0
2896,5.0
23739,4.0
8482,2.0
5174,5.0
10897,4.0
7771,3.0
7358,4.0
17966,5.0
18402,5.0
23746,4.0
23476,5.0
6827,5.0
9771,5.0
15615,4.0
22547,5.0
21671,5.0
9809,4.0
10785,1.0
13829,5.0
3693,5.0
20681,5.0
14142,1.0
13389,5.0
5892,5.0
13388,5.0
17682,4.0
14508,5.0
13465,4.0
8928,1.0
18928,4.0
10479,1.0
17042,5.0
12051,5.0
5931,5.0
10886,5.0
23441,5.0
6601,4.0
18104,5.0
1315,5.0
12543,4.0
17018,4.0
9570,5.0
13472,4.0
16325,4.0
1689,4.0
632,5.0
2544,5.0
14292,4.0
2678,5.0
20537,5.0
15264,5.0
20616,5.0
4212,5.0
8934,3.0
15239,4.0
889,5.0
14202,5.0
14521,4.0
16572,5.0
22189,5.0
19089,3.0
22209,4.0
9502,5.0
9866,5.0
16601,5.0
