,overall
6062,4.0
4645,5.0
16783,5.0
10866,5.0
14741,4.0
1941,2.0
17717,5.0
21695,4.0
9203,5.0
21318,4.0
8488,5.0
10257,4.0
15979,5.0
7184,4.0
1238,1.0
10623,4.0
22563,4.0
7200,5.0
13,4.0
15424,4.0
5728,3.0
9288,5.0
6644,5.0
9864,4.0
9729,3.0
6485,4.0
21876,4.0
22175,4.0
12821,1.0
12726,2.0
9689,2.0
22774,5.0
17077,2.0
10557,5.0
7826,5.0
19100,5.0
15107,5.0
21239,4.0
411,5.0
16871,5.0
5939,4.0
20911,5.0
618,5.0
5211,5.0
23624,5.0
4819,4.0
2913,4.0
16263,3.0
21435,4.0
2674,5.0
10302,5.0
22244,4.0
3154,5.0
22298,4.0
2185,5.0
642,4.0
10915,5.0
16129,5.0
17212,5.0
6144,5.0
14886,3.0
21891,1.0
9320,5.0
1128,5.0
14858,4.0
21991,5.0
4754,4.0
11345,4.0
18049,5.0
953,5.0
19920,4.0
12631,4.0
21363,5.0
17291,4.0
9229,5.0
13510,5.0
2213,5.0
6248,5.0
11002,5.0
13930,1.0
5865,5.0
18606,4.0
12849,5.0
8899,4.0
19256,4.0
869,4.0
21797,3.0
5114,5.0
13178,5.0
14527,4.0
1353,5.0
3082,5.0
4815,5.0
18850,1.0
9900,5.0
10916,5.0
14400,4.0
13886,5.0
2761,2.0
13567,3.0
3171,5.0
10388,4.0
130,5.0
19700,5.0
22255,5.0
22204,4.0
5095,5.0
12994,3.0
18555,1.0
6880,5.0
1783,5.0
18211,5.0
12481,4.0
2465,5.0
21666,4.0
10294,1.0
18954,4.0
15337,3.0
5652,4.0
17153,5.0
7604,1.0
12703,5.0
2132,4.0
3043,5.0
11292,5.0
18216,5.0
20050,4.0
19553,4.0
21007,4.0
18638,5.0
4499,4.0
16559,5.0
7740,3.0
2509,5.0
22311,4.0
7347,5.0
507,5.0
13878,4.0
3264,5.0
15196,5.0
5754,5.0
11099,4.0
13501,5.0
5720,5.0
10097,4.0
7859,4.0
10091,5.0
1610,3.0
5961,4.0
18073,5.0
8072,5.0
20469,4.0
4422,5.0
21516,4.0
23034,5.0
19222,4.0
18523,5.0
54,4.0
8283,5.0
7245,5.0
1355,4.0
11765,1.0
2124,2.0
12623,2.0
3464,5.0
10234,5.0
3867,5.0
14794,4.0
3595,3.0
6355,4.0
812,5.0
4392,5.0
18084,5.0
16178,5.0
21153,5.0
10781,2.0
2379,4.0
540,4.0
1520,5.0
1107,5.0
7081,5.0
12920,3.0
5842,4.0
5526,4.0
2299,5.0
8667,4.0
15380,1.0
7107,5.0
835,3.0
21840,5.0
17276,5.0
3414,3.0
17792,5.0
23062,5.0
11595,5.0
14221,4.0
4635,5.0
11280,4.0
11013,4.0
22243,5.0
6676,2.0
273,5.0
3367,4.0
20104,3.0
18090,4.0
17650,4.0
8472,4.0
18825,5.0
4232,4.0
10073,3.0
12391,1.0
14775,5.0
4654,5.0
1567,5.0
1204,3.0
12886,3.0
17011,4.0
7549,4.0
4341,4.0
3084,5.0
11996,5.0
7936,3.0
271,5.0
23483,5.0
20339,4.0
7683,4.0
9934,5.0
6663,4.0
6703,5.0
21211,3.0
19440,3.0
20475,4.0
20666,5.0
6277,3.0
1271,5.0
21497,1.0
2939,5.0
11175,1.0
7004,3.0
13711,4.0
11887,5.0
23137,5.0
890,4.0
22279,2.0
6251,5.0
22964,5.0
13359,5.0
14076,4.0
22978,4.0
9101,5.0
7606,4.0
11815,5.0
10787,3.0
12252,5.0
19039,4.0
16174,4.0
13380,5.0
1494,4.0
15790,4.0
14040,5.0
19823,4.0
11344,4.0
6049,5.0
6447,5.0
18036,4.0
7658,5.0
4516,1.0
11723,4.0
762,1.0
8460,4.0
1642,3.0
9496,5.0
18844,1.0
6392,5.0
12907,4.0
22944,3.0
21050,5.0
7461,5.0
6949,5.0
10382,5.0
19935,5.0
9998,5.0
14887,4.0
20548,5.0
17569,5.0
21682,3.0
6802,4.0
3939,5.0
21343,5.0
19071,4.0
23501,5.0
19395,3.0
2043,5.0
16440,5.0
17676,5.0
4079,5.0
6504,4.0
7137,5.0
11354,4.0
3196,3.0
23013,3.0
5702,5.0
6310,5.0
6423,5.0
22433,5.0
8139,5.0
16158,5.0
10045,5.0
21880,5.0
21663,4.0
18366,5.0
19819,5.0
6127,5.0
11597,5.0
23059,4.0
8844,5.0
21062,4.0
17642,5.0
3277,5.0
12376,4.0
3209,5.0
20783,5.0
21723,5.0
10053,5.0
10887,5.0
17726,4.0
5557,4.0
16079,4.0
13552,4.0
13449,2.0
23236,5.0
12024,2.0
18811,4.0
8193,5.0
7813,5.0
15326,5.0
3117,3.0
11486,1.0
20847,1.0
8172,3.0
5197,5.0
5268,5.0
15718,4.0
6648,5.0
4014,4.0
5413,5.0
9495,5.0
7128,5.0
19615,4.0
15112,4.0
13014,3.0
9775,5.0
2184,5.0
15816,5.0
8494,5.0
8585,5.0
23351,1.0
3162,5.0
9694,5.0
2131,4.0
18326,4.0
14057,5.0
11651,5.0
16768,5.0
15031,5.0
7806,4.0
9209,3.0
7744,4.0
4089,5.0
5861,5.0
19035,5.0
4162,5.0
17920,5.0
12267,5.0
10522,3.0
1156,1.0
923,5.0
4936,4.0
16280,4.0
18492,5.0
12116,4.0
23784,5.0
18473,4.0
2924,4.0
2732,5.0
1406,3.0
8555,4.0
6678,5.0
19693,4.0
12536,4.0
4145,5.0
16812,3.0
11133,5.0
10267,3.0
5554,5.0
21489,2.0
1320,5.0
13579,2.0
13549,5.0
20739,1.0
12396,1.0
218,5.0
10506,4.0
4016,4.0
23540,4.0
15762,4.0
23190,4.0
17425,3.0
18746,4.0
14096,3.0
14908,1.0
19742,2.0
16452,4.0
15342,5.0
3103,5.0
5392,4.0
18903,3.0
17787,2.0
18421,4.0
6391,5.0
20384,5.0
7430,4.0
20785,5.0
15511,5.0
2329,5.0
18159,5.0
11735,4.0
13703,4.0
1448,5.0
14671,2.0
9412,4.0
15935,4.0
23039,5.0
4679,5.0
3429,5.0
4353,3.0
10046,5.0
3467,5.0
5281,5.0
19141,3.0
2722,5.0
19805,3.0
10030,5.0
23623,2.0
15772,4.0
2007,5.0
6716,5.0
13648,4.0
5940,5.0
21555,5.0
1241,5.0
9517,3.0
12813,2.0
23124,5.0
15656,3.0
6646,5.0
11141,5.0
5317,4.0
2239,5.0
3864,5.0
1057,2.0
10409,3.0
19153,4.0
17565,5.0
20518,5.0
12041,1.0
19263,4.0
10026,3.0
9226,4.0
13290,5.0
11314,5.0
7493,5.0
21317,5.0
11217,2.0
11498,3.0
10640,4.0
1725,5.0
2518,3.0
11128,5.0
21754,5.0
17422,5.0
11659,3.0
22626,5.0
1442,5.0
12977,3.0
18323,4.0
10320,5.0
18644,5.0
3089,5.0
12318,4.0
7041,5.0
16057,4.0
9731,2.0
8293,4.0
21589,5.0
12897,5.0
12131,3.0
17831,3.0
8144,5.0
5104,2.0
13512,4.0
10615,5.0
9618,3.0
13740,5.0
5548,5.0
13500,5.0
15605,4.0
20024,4.0
14010,5.0
2364,5.0
973,5.0
22045,5.0
10116,5.0
17666,4.0
11032,5.0
8017,5.0
5394,5.0
11049,5.0
2243,5.0
16666,5.0
5530,5.0
14169,4.0
15059,3.0
17294,4.0
14116,4.0
8374,3.0
7373,5.0
22929,3.0
11096,5.0
6312,3.0
1654,5.0
21643,5.0
7637,5.0
16684,5.0
1177,5.0
7562,5.0
22796,5.0
19150,5.0
20889,3.0
8455,5.0
15055,5.0
5887,5.0
23374,3.0
2059,5.0
5927,5.0
1514,4.0
15990,1.0
3483,4.0
14314,3.0
14139,5.0
14710,3.0
4062,5.0
9377,5.0
2601,2.0
9117,4.0
11905,4.0
15528,4.0
21784,5.0
790,5.0
5463,1.0
18457,5.0
14761,5.0
6572,5.0
16479,4.0
13176,4.0
10317,5.0
4797,3.0
17253,5.0
1740,3.0
1568,3.0
22102,5.0
6889,5.0
3091,4.0
7627,5.0
5239,5.0
7384,5.0
2635,5.0
18812,5.0
6259,5.0
20211,4.0
16781,4.0
14936,5.0
5975,5.0
19882,3.0
3022,5.0
17310,2.0
17811,5.0
9587,5.0
18106,5.0
1457,5.0
13933,3.0
3343,4.0
23607,5.0
3412,5.0
17144,5.0
5812,4.0
6246,5.0
18859,3.0
15757,4.0
13420,5.0
11434,4.0
7371,5.0
21828,3.0
13983,4.0
6823,2.0
5057,5.0
13838,4.0
12763,5.0
16867,4.0
15510,5.0
17003,4.0
11767,4.0
5612,5.0
3690,5.0
17133,4.0
21703,5.0
23227,5.0
1129,5.0
50,5.0
12068,4.0
3852,1.0
13831,3.0
2579,5.0
7894,5.0
10842,5.0
13151,4.0
23099,2.0
9598,5.0
2507,5.0
23788,4.0
6788,5.0
13360,5.0
10493,5.0
5247,5.0
22719,4.0
22486,5.0
9049,3.0
20751,5.0
21540,4.0
14764,4.0
22144,4.0
15425,4.0
16809,4.0
12529,4.0
17132,1.0
2232,4.0
10147,4.0
6643,5.0
2405,4.0
11255,5.0
21179,4.0
18949,5.0
6793,5.0
17158,5.0
18952,4.0
4171,5.0
21316,5.0
11137,4.0
10012,5.0
317,5.0
4526,5.0
23156,5.0
1165,4.0
15620,4.0
3652,5.0
258,5.0
13751,5.0
1219,3.0
315,5.0
8550,5.0
18034,3.0
5521,5.0
14904,1.0
13931,3.0
11489,1.0
21075,4.0
12898,5.0
20113,2.0
5367,5.0
11967,5.0
10651,2.0
1522,5.0
15324,4.0
3729,5.0
15795,5.0
8714,5.0
6816,2.0
7392,5.0
13638,4.0
11281,1.0
17972,5.0
15941,5.0
13525,4.0
8778,5.0
8354,4.0
8457,5.0
6917,5.0
18277,1.0
9669,5.0
2869,5.0
506,4.0
13889,4.0
12823,3.0
4350,4.0
23749,5.0
16352,5.0
13894,5.0
19162,5.0
22675,1.0
10589,5.0
9649,2.0
12268,5.0
19620,4.0
5052,5.0
16499,4.0
470,5.0
12976,5.0
5576,5.0
20190,4.0
13571,3.0
2107,5.0
136,5.0
19327,3.0
16119,2.0
14328,2.0
7000,5.0
16887,5.0
7101,4.0
18950,5.0
19495,3.0
20484,4.0
14144,4.0
1010,5.0
15614,4.0
9518,3.0
16862,4.0
7772,5.0
8657,5.0
9739,5.0
543,5.0
18038,3.0
18289,5.0
8583,5.0
2710,4.0
13952,2.0
13037,4.0
2114,4.0
9235,4.0
551,5.0
17462,5.0
8568,5.0
23619,5.0
16771,3.0
23714,5.0
22996,5.0
14050,5.0
8286,3.0
12186,5.0
4288,5.0
6488,3.0
22427,1.0
5476,3.0
11830,3.0
40,5.0
265,5.0
2622,4.0
6638,5.0
12480,3.0
13253,5.0
12546,5.0
14289,3.0
17647,5.0
7843,5.0
2873,5.0
5375,5.0
15069,5.0
11913,3.0
17284,4.0
19006,5.0
15765,5.0
4308,4.0
6110,5.0
8924,4.0
3194,5.0
891,4.0
22300,4.0
957,4.0
22326,5.0
17993,5.0
14288,5.0
5200,5.0
14526,2.0
23266,5.0
17415,5.0
11813,4.0
4931,5.0
9427,1.0
18018,5.0
16308,3.0
1821,4.0
5882,5.0
23388,5.0
11117,4.0
15989,1.0
18280,5.0
15195,5.0
11332,5.0
378,5.0
4267,5.0
14978,5.0
16834,3.0
23183,1.0
17959,4.0
15452,5.0
1809,5.0
8119,5.0
23475,5.0
18446,5.0
11780,1.0
4600,5.0
7713,5.0
16632,1.0
3532,3.0
11705,4.0
21654,5.0
7129,3.0
3662,4.0
11608,3.0
3332,4.0
335,3.0
19930,5.0
16050,5.0
14890,4.0
20650,4.0
584,5.0
23787,5.0
12474,5.0
7102,5.0
12937,5.0
8623,5.0
14062,4.0
22200,3.0
14090,1.0
22065,4.0
916,5.0
9171,5.0
4769,5.0
22196,5.0
19748,4.0
3144,4.0
7351,4.0
20263,5.0
16068,4.0
19303,5.0
12700,5.0
2153,5.0
328,5.0
19880,3.0
17377,5.0
4477,5.0
1831,5.0
12249,5.0
7052,4.0
20963,4.0
3546,5.0
19076,4.0
3522,5.0
13533,4.0
12315,2.0
10558,5.0
5808,3.0
10924,3.0
19165,3.0
6992,3.0
11821,5.0
17877,2.0
10531,5.0
9093,5.0
10737,1.0
8976,5.0
9311,5.0
12470,2.0
23355,3.0
758,5.0
3809,3.0
2890,5.0
1068,5.0
7596,4.0
14441,5.0
6913,2.0
10611,1.0
22515,5.0
14828,1.0
17470,5.0
11862,4.0
12418,2.0
21398,4.0
8707,5.0
6772,5.0
7537,5.0
21975,5.0
1254,5.0
11087,4.0
2526,5.0
7095,5.0
14244,5.0
14381,5.0
13700,5.0
16726,4.0
18787,5.0
5086,5.0
8536,5.0
18965,3.0
1844,4.0
5332,5.0
342,5.0
19406,4.0
12442,5.0
19204,5.0
18877,5.0
21443,2.0
8906,5.0
814,5.0
21809,4.0
22208,3.0
12132,3.0
18349,5.0
8396,5.0
17473,1.0
14574,5.0
13970,4.0
15389,3.0
12560,3.0
14835,5.0
13800,4.0
23488,5.0
16509,5.0
12217,5.0
19964,4.0
4092,3.0
4231,1.0
7756,5.0
14545,3.0
6561,5.0
3559,4.0
18124,1.0
5581,5.0
927,4.0
6986,5.0
8202,5.0
1942,5.0
4759,5.0
95,4.0
23741,5.0
15905,5.0
16866,4.0
1429,3.0
20343,5.0
285,5.0
3310,4.0
18973,5.0
4433,5.0
9374,5.0
1692,4.0
3389,4.0
12407,5.0
7516,5.0
17613,5.0
12216,5.0
16220,2.0
11666,3.0
10230,4.0
8442,5.0
2541,3.0
5644,4.0
8207,5.0
11838,5.0
8726,5.0
4262,5.0
10318,5.0
14026,5.0
4388,5.0
1357,5.0
5967,5.0
2218,5.0
10711,5.0
4715,4.0
1145,5.0
1059,3.0
2252,3.0
12016,5.0
4862,5.0
22085,3.0
12757,5.0
10561,5.0
6888,2.0
16417,3.0
6383,3.0
14217,4.0
2026,5.0
17058,5.0
4413,5.0
20236,3.0
12127,5.0
14743,4.0
16699,4.0
21160,5.0
20430,2.0
20358,3.0
11158,5.0
62,5.0
23354,4.0
9646,4.0
16527,4.0
13881,1.0
21093,3.0
15555,3.0
3851,5.0
6184,5.0
5936,5.0
10769,5.0
7122,5.0
19232,5.0
721,5.0
20798,4.0
226,4.0
15088,4.0
9726,3.0
13066,5.0
10972,5.0
11782,2.0
20152,5.0
1066,5.0
14331,1.0
8015,5.0
1123,5.0
20819,5.0
1657,4.0
21912,2.0
22949,5.0
4782,5.0
18914,4.0
11287,4.0
17332,4.0
5096,5.0
13893,5.0
16224,5.0
6432,4.0
3784,4.0
22371,4.0
5149,5.0
10994,3.0
18749,3.0
14901,5.0
19759,4.0
14899,5.0
2776,4.0
6697,4.0
2310,5.0
7688,5.0
4703,4.0
9210,5.0
5499,4.0
19888,3.0
6326,5.0
12707,2.0
20976,4.0
415,5.0
20756,4.0
11157,5.0
3305,5.0
8969,5.0
3766,4.0
4582,5.0
5202,5.0
16214,1.0
19659,4.0
10248,5.0
20896,4.0
348,5.0
6178,5.0
21389,5.0
3707,5.0
10474,3.0
1120,4.0
21933,5.0
3288,5.0
6194,5.0
23040,5.0
9711,1.0
7634,5.0
13323,3.0
3550,5.0
5439,5.0
8842,5.0
23265,3.0
2700,5.0
14000,5.0
1622,3.0
11313,5.0
2285,4.0
19423,5.0
16742,4.0
23527,4.0
22928,2.0
950,5.0
11273,2.0
3315,5.0
12785,5.0
5698,5.0
20903,4.0
20796,4.0
23642,5.0
2138,5.0
2929,5.0
6197,5.0
21550,5.0
3593,5.0
3270,5.0
13664,4.0
9250,5.0
3880,2.0
6491,5.0
6904,5.0
22214,2.0
15459,5.0
11492,5.0
18999,5.0
21460,4.0
13352,5.0
9685,5.0
534,5.0
3202,5.0
6564,4.0
10129,5.0
14091,3.0
19635,5.0
2438,4.0
15465,5.0
18997,5.0
8347,4.0
21085,4.0
1880,4.0
18778,4.0
7455,5.0
4208,5.0
15295,5.0
22960,5.0
11937,4.0
15273,4.0
21092,5.0
11690,5.0
13541,5.0
13503,5.0
15141,4.0
22724,5.0
6936,3.0
3614,5.0
3788,5.0
20424,1.0
23121,3.0
4311,3.0
15320,3.0
14240,5.0
10359,5.0
9470,5.0
5227,2.0
16962,4.0
14490,4.0
8238,5.0
7471,5.0
11164,3.0
15721,2.0
11563,4.0
18441,4.0
5825,5.0
10921,4.0
8183,4.0
10392,1.0
9102,5.0
9645,4.0
15218,5.0
3469,4.0
23419,5.0
17242,5.0
6249,5.0
7892,5.0
11025,5.0
11064,3.0
5986,4.0
8323,5.0
3123,5.0
8834,5.0
10868,5.0
9523,3.0
34,5.0
5955,5.0
16155,4.0
19040,3.0
6997,4.0
7008,5.0
17005,4.0
16234,3.0
9127,5.0
15274,4.0
3068,5.0
19235,5.0
3160,5.0
5034,5.0
3318,5.0
20589,5.0
4139,5.0
3569,4.0
3051,5.0
10599,5.0
6925,4.0
1665,3.0
3525,5.0
17100,4.0
23587,5.0
14004,5.0
3932,5.0
3937,5.0
6520,3.0
16710,5.0
4156,5.0
22542,5.0
11093,5.0
14334,1.0
1374,3.0
1886,4.0
12838,4.0
16597,4.0
2452,5.0
17782,1.0
19432,3.0
9009,5.0
22708,5.0
5151,5.0
12550,5.0
1404,5.0
300,5.0
783,5.0
13281,3.0
17671,2.0
12946,3.0
22789,5.0
3839,5.0
93,4.0
9407,3.0
7385,5.0
18342,4.0
13998,5.0
4816,3.0
3036,5.0
23337,5.0
1988,5.0
11147,5.0
5184,1.0
1105,5.0
7718,5.0
12069,4.0
13628,4.0
6175,5.0
19754,3.0
6344,4.0
8131,5.0
8257,3.0
19591,4.0
19671,4.0
1575,5.0
15916,3.0
2926,5.0
10946,4.0
17203,5.0
14622,5.0
8368,5.0
19441,4.0
10978,3.0
14723,3.0
9050,5.0
19097,5.0
8339,5.0
3950,5.0
14882,5.0
8918,5.0
23313,4.0
13734,5.0
7618,4.0
6770,5.0
9898,5.0
13279,5.0
5040,5.0
4153,1.0
17643,4.0
6826,4.0
22391,3.0
18736,4.0
16817,4.0
23489,5.0
15433,5.0
15697,1.0
22608,5.0
8652,5.0
20801,5.0
20745,1.0
14303,4.0
20300,4.0
19739,2.0
19341,4.0
5621,4.0
9757,1.0
13146,4.0
6756,5.0
12317,4.0
18614,4.0
11504,2.0
23397,5.0
19583,5.0
1401,5.0
11976,3.0
7765,5.0
16251,3.0
18413,4.0
3382,5.0
1007,5.0
11985,3.0
20749,4.0
11679,3.0
22669,4.0
22494,5.0
22138,5.0
13150,5.0
18921,3.0
9267,3.0
14553,5.0
16124,5.0
15677,2.0
8479,5.0
8295,5.0
13569,4.0
19673,2.0
22432,5.0
18594,5.0
18964,5.0
17446,4.0
9803,4.0
19837,5.0
4755,5.0
22333,5.0
23112,3.0
18052,3.0
14864,4.0
21471,3.0
7883,5.0
21698,4.0
17149,5.0
20127,4.0
14321,1.0
12916,5.0
23533,5.0
17095,5.0
16637,1.0
4052,5.0
17074,4.0
16578,5.0
2193,5.0
3059,5.0
22824,3.0
1074,1.0
6053,5.0
17257,4.0
8481,4.0
7774,5.0
23242,4.0
19265,3.0
13980,5.0
19848,2.0
14482,4.0
1436,4.0
10484,5.0
10241,2.0
22421,4.0
1389,5.0
7726,5.0
13258,4.0
17354,5.0
12245,5.0
20937,4.0
16915,5.0
7565,5.0
1033,5.0
9622,2.0
12435,3.0
22182,4.0
17600,5.0
22453,5.0
14061,4.0
6617,5.0
23779,5.0
14192,4.0
18677,3.0
9205,5.0
1364,3.0
9080,5.0
6427,5.0
9787,4.0
4555,5.0
5739,5.0
21469,3.0
21453,5.0
6717,5.0
6727,5.0
11969,5.0
7760,3.0
16968,5.0
6574,5.0
13308,2.0
16324,4.0
17773,3.0
18119,1.0
20628,1.0
15960,5.0
6983,5.0
16338,5.0
23339,5.0
3320,4.0
10630,3.0
3980,5.0
2655,5.0
23717,5.0
2774,5.0
20158,5.0
9415,3.0
14367,5.0
17580,5.0
2726,5.0
22680,4.0
550,5.0
3671,5.0
3142,4.0
10952,4.0
11719,5.0
3952,4.0
5319,4.0
23041,3.0
10851,5.0
9285,4.0
11045,5.0
22775,4.0
19952,5.0
3513,2.0
16585,1.0
22992,4.0
5703,5.0
20258,3.0
18344,5.0
3138,3.0
9943,5.0
2530,5.0
3995,5.0
10312,3.0
15971,4.0
16331,5.0
4405,2.0
22331,5.0
16906,4.0
22740,2.0
12955,5.0
829,4.0
1882,5.0
9977,2.0
7123,5.0
23698,5.0
182,3.0
4186,4.0
15105,4.0
20498,5.0
9813,4.0
1951,5.0
7905,4.0
16895,4.0
884,4.0
22352,4.0
15561,5.0
16941,3.0
20012,5.0
5596,5.0
7209,5.0
4375,5.0
17951,5.0
10008,3.0
10967,5.0
23803,5.0
13609,3.0
9027,5.0
22276,4.0
17300,3.0
15351,4.0
6773,5.0
5440,4.0
15557,5.0
8608,5.0
16275,5.0
3455,5.0
170,4.0
14428,5.0
8587,4.0
1489,1.0
19456,5.0
20323,4.0
3110,5.0
8990,4.0
14538,4.0
19554,5.0
22299,4.0
19157,2.0
13473,1.0
15134,5.0
5498,5.0
2235,5.0
9340,5.0
319,5.0
6108,5.0
6684,4.0
8686,5.0
4344,5.0
15236,3.0
5493,3.0
1599,5.0
9696,5.0
16159,5.0
3557,3.0
391,4.0
23194,3.0
22154,4.0
19454,4.0
14136,4.0
6196,5.0
18668,5.0
6864,5.0
18712,4.0
8061,4.0
14280,3.0
9170,5.0
15647,5.0
17091,4.0
529,4.0
23086,5.0
19286,1.0
19269,5.0
7379,5.0
2562,5.0
13476,4.0
19697,4.0
20644,5.0
22846,4.0
13069,5.0
23794,5.0
11213,5.0
17905,4.0
13965,4.0
20164,3.0
1040,5.0
18327,5.0
14035,5.0
4510,2.0
15972,4.0
7960,5.0
6215,5.0
7975,4.0
8146,5.0
5296,5.0
14672,2.0
13089,5.0
11960,4.0
2603,4.0
5736,5.0
8248,4.0
22416,5.0
14164,4.0
3699,5.0
20888,5.0
23429,5.0
9535,1.0
18260,4.0
8363,5.0
12825,5.0
7757,4.0
2557,4.0
23752,4.0
10504,4.0
3934,5.0
6416,5.0
16674,5.0
15463,1.0
10067,5.0
8489,5.0
20660,4.0
14583,5.0
21720,3.0
17807,4.0
21250,5.0
15367,3.0
13962,4.0
10848,5.0
1035,4.0
5118,5.0
10391,1.0
899,4.0
19378,5.0
17538,4.0
3914,5.0
20865,4.0
12606,3.0
17526,5.0
15948,4.0
13408,5.0
15742,3.0
5459,5.0
18808,4.0
11788,3.0
23114,2.0
23595,5.0
16256,5.0
14715,2.0
23134,3.0
8402,1.0
936,5.0
8116,5.0
6124,3.0
17467,5.0
15382,1.0
3240,4.0
18282,4.0
15910,3.0
6160,4.0
13023,3.0
21066,5.0
5911,5.0
12017,5.0
3064,5.0
7808,5.0
11044,5.0
18786,5.0
6286,5.0
13864,5.0
1055,5.0
14231,1.0
19467,5.0
15233,5.0
16015,5.0
15932,2.0
14533,2.0
2794,5.0
19059,5.0
16748,4.0
15900,1.0
17621,5.0
2441,5.0
19720,5.0
20886,5.0
23425,3.0
10468,4.0
14020,4.0
12271,4.0
3054,5.0
20799,4.0
22684,5.0
19108,5.0
20096,5.0
20405,5.0
16517,4.0
17872,4.0
6499,5.0
23304,4.0
6749,4.0
21716,5.0
150,5.0
21715,4.0
10040,5.0
22469,5.0
12565,4.0
811,5.0
13481,5.0
20773,4.0
18462,4.0
22627,5.0
15880,5.0
20699,5.0
23296,5.0
20281,4.0
10761,5.0
17007,5.0
2872,4.0
16404,4.0
19197,4.0
23328,5.0
18241,4.0
7547,5.0
23239,4.0
19609,5.0
19479,4.0
1793,5.0
11234,5.0
16633,5.0
22254,5.0
